,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
851,Los Angeles Lakers,Utah Jazz,-1.2875607262115787,-1.6895349713782055,-0.08918272552345174,-1.8458078724406977,-2.060831414464221,0.5984088151829289,-1.7559154188335462,0,04/19/2021
852,Boston Celtics,Chicago Bulls,-1.1436991925566538,1.7458528037574799,0.8918272552345203,-0.1622688239508306,-0.9130265760284533,-1.0685871699695226,-1.2238198373688334,0,04/19/2021
853,Miami Heat,Houston Rockets,2.553542222374918,2.140077630412396,-1.694471784945589,2.6571519921948505,1.5391019424479655,-3.0347875627134417,0.744933814050592,1,04/19/2021
854,Detroit Pistons,Cleveland Cavaliers,-2.4959976089129476,-1.9711241332745728,0.0,-2.981689640096512,-2.2695232032707278,2.5218657211280697,-2.500849232884144,1,04/19/2021
855,Milwaukee Bucks,Phoenix Suns,-1.294753802894325,0.7321318209305541,0.17836545104690343,-0.68964250179103,0.0,1.4532785511585529,-0.21283823258588513,0,04/19/2021
856,Indiana Pacers,San Antonio Spurs,-0.16544076370316396,-0.22527132951709328,1.3377408828517803,-0.10141801496926911,0.0,0.2992044075914675,0.4788860233182416,0,04/19/2021
857,Denver Nuggets,Memphis Grizzlies,-0.9350999687570122,-2.027441965653847,0.8026445297110686,-0.4056720598770765,-0.4434700512138172,0.17097394719512593,1.2238198373688336,1,04/19/2021
858,Washington Wizards,Oklahoma City Thunder,1.2875607262115785,-0.9574031504476512,0.0,1.014180149692691,1.8260531520569068,0.769382762378061,2.4476396747376725,1,04/19/2021
859,New York Knicks,Charlotte Hornets,-0.16544076370316385,2.365348959929489,0.8918272552345202,0.12170161796312293,-0.9130265760284533,-1.4960220379573315,-0.9045624884900056,1,04/20/2021
860,Portland Trail Blazers,LA Clippers,-0.5179015211577296,-0.11263566475854463,-0.802644529711067,-0.5882244868217608,1.3304101536414592,3.6331963778963763,0.7981433721970692,0,04/20/2021
861,Atlanta Hawks,Orlando Magic,1.6040561002524134,0.5631783237927351,-2.2295681380863006,1.5212702245390364,2.4521285184764188,0.683895788780492,2.021963209565903,1,04/20/2021
862,Sacramento Kings,Minnesota Timberwolves,-0.5466738278887145,-0.4505426590341905,-0.8918272552345201,-0.9127621347234219,0.05217294720162291,2.0089438795427035,0.37246690702529905,0,04/20/2021
863,New Orleans Pelicans,Brooklyn Nets,-1.9493237810242334,0.8447674856891028,0.5350963531407135,-1.4198522095697674,-0.9912859968308915,1.2395611171646486,-1.8091249769800175,0,04/20/2021
864,Philadelphia 76ers,Phoenix Suns,-1.3307191863080563,-1.238992312344019,-0.8026445297110686,-1.0547473556803988,-0.10434589440325329,1.880713419146362,-0.21283823258588513,0,04/21/2021
865,San Antonio Spurs,Miami Heat,-1.8414276307830395,-0.3942248266549162,-1.7836545104690404,-0.9938965466988374,-0.7565077344235771,0.854869735975618,-1.5430771862476613,0,04/21/2021
866,New York Knicks,Atlanta Hawks,0.7696592050538484,0.9574031504476512,1.159375431804877,0.3245376479016612,-0.96519952323008,-1.9234569059451405,-0.957772046636477,1,04/21/2021
867,LA Clippers,Memphis Grizzlies,-1.3666845697217875,-2.19639546279167,1.1593754318048755,-1.0141801496926912,-1.6695343104520268,-0.7266392755792703,0.053209558146471325,1,04/21/2021
868,Houston Rockets,Utah Jazz,-2.8340722130020217,-2.5343024570673083,1.9620199615159457,-3.2859436850043187,-2.608647360081295,2.6073526947256322,-1.8623345351264888,0,04/21/2021
869,Cleveland Cavaliers,Chicago Bulls,-0.4891292144267454,1.9148063008952985,1.6944717849455873,0.5476572808340533,-0.5478159456170706,-2.0944308531402607,-0.5853051396111841,1,04/21/2021
870,Portland Trail Blazers,Denver Nuggets,-0.9494861221225048,-0.28158916189636757,-0.44591362761726017,-1.1967325766373753,0.1043458944032496,2.7355831551219802,-0.37246690702529295,0,04/21/2021
871,Indiana Pacers,Oklahoma City Thunder,0.11508922692393964,-0.7884496533098283,0.8026445297110686,1.237299782625083,1.8782260992585336,0.5556653283841565,1.968753651419437,1,04/21/2021
872,Dallas Mavericks,Detroit Pistons,2.2586260783823224,1.4079458094818378,-2.140385412562847,2.49488316824402,2.0869178880650363,-1.8379699323475776,1.7559154188335522,1,04/21/2021
873,Sacramento Kings,Minnesota Timberwolves,-0.5466738278887145,-0.4505426590341905,-0.8918272552345201,-0.9127621347234219,0.05217294720162291,2.0089438795427035,0.37246690702529905,1,04/21/2021
874,Washington Wizards,Golden State Warriors,-1.6256353303006517,-0.9574031504476512,-1.962019961515944,-2.1703455203423587,-0.46955652481463617,3.675939864695161,-0.7981433721970692,1,04/21/2021
875,Toronto Raptors,Brooklyn Nets,-0.8487830485640573,0.6194961561720094,-0.981009980757972,-0.3042540449078073,-0.23477826240731808,0.341947894390246,-2.075172767712374,1,04/21/2021
876,San Antonio Spurs,Detroit Pistons,0.9207138153915199,1.4079458094818378,-2.0512026870393956,1.8458078724406977,2.0347449408634097,-0.4701783547865875,1.3302389536617818,1,04/22/2021
877,Chicago Bulls,Charlotte Hornets,0.8919415086605348,0.11263566475854858,0.4459136276172601,0.6287916928094684,0.0,-1.282304603963427,0.6385146977576553,1,04/22/2021
878,Boston Celtics,Phoenix Suns,-2.0140614711689495,0.33790699427564186,0.3567309020938084,-1.1358817676558142,-0.6260753664195123,1.4105350643597683,-0.8513529303435345,1,04/22/2021
879,Orlando Magic,New Orleans Pelicans,-1.3666845697217873,-1.4642636418611121,0.17836545104690338,-0.9533293407111295,-1.1999777856373979,0.2137174339939045,-0.5853051396111844,0,04/22/2021
880,Milwaukee Bucks,Philadelphia 76ers,0.03596538341373123,1.971124133274573,0.981009980757972,0.36510485388936875,0.10434589440325329,-0.42743486798780905,0.0,1,04/22/2021
